"","cor","motif","name"
"2",-0.146946161717344,"MA0006.1","Ahr::Arnt"
"79",-0.141007222904046,"MA0523.1","TCF7L2"
"658",-0.132502047242896,"MA1650.1","ZBTB14"
"256",-0.130981594969045,"MA0768.1","LEF1"
"676",-0.126701208428282,"MA0162.4","EGR1"
"69",-0.119322024296255,"MA0506.1","NRF1"
"635",-0.113650993918039,"MA0632.2","TCFL5"
"673",-0.11356401020143,"MA1102.2","CTCFL"
"412",-0.104416860239075,"MA0103.3","ZEB1"
"37",-0.102404678990281,"MA0139.1","CTCF"
"736",-0.101687610607948,"MA0769.2","TCF7"
"734",-0.0992950098280262,"MA0522.3","TCF3"
"656",-0.099256294642223,"MA1648.1","TCF12(var.2)"
"227",-0.0988184255464052,"MA0472.2","EGR2"
"228",-0.0970098007174335,"MA0732.1","EGR3"
"235",-0.0920827849367336,"MA0740.1","KLF14"
"735",-0.091739494682046,"MA0830.2","TCF4"
"451",-0.0878403265409097,"MA1421.1","TCF7L1"
"729",-0.0824851416240233,"MA0745.2","SNAI2"
"536",-0.0823775998547957,"MA1558.1","SNAI1"
"537",-0.0817235664142059,"MA1559.1","SNAI3"
"494",-0.0816323804157318,"MA1513.1","KLF15"
"177",-0.0778921853337423,"MA0685.1","SP4"
"190",-0.0742446680642583,"MA0696.1","ZIC1"
"542",-0.0738713760604305,"MA1564.1","SP9"
"560",-0.0726064374726899,"MA1583.1","ZFP57"
"639",-0.0715690196362678,"MA1631.1","ASCL1(var.2)"
"191",-0.0711109470905733,"MA0697.1","ZIC3"
"674",-0.068744188053802,"MA0471.2","E2F6"
"240",-0.0687219993856566,"MA0751.1","ZIC4"
"416",-0.067323089601434,"MA1155.1","ZSCAN4"
"414",-0.0666030148027327,"MA1125.1","ZNF384"
"50",-0.0654187108416664,"MA0259.1","ARNT::HIF1A"
"661",-0.0630761210326764,"MA1653.1","ZNF148"
"648",-0.0622007820315653,"MA1640.1","MEIS2(var.2)"
"630",-0.0605296316144247,"MA0867.2","SOX4"
"609",-0.0600642395765078,"MA1099.2","HES1"
"561",-0.060040717700239,"MA1584.1","ZIC5"
"719",-0.0588239674681621,"MA1113.2","PBX2"
"391",-0.057536556916561,"MA1106.1","HIF1A"
"115",-0.057421140497874,"MA0629.1","Rhox11"
"43",-0.0564952023229407,"MA0151.1","Arid3a"
"238",-0.0564696305681103,"MA0747.1","SP8"
"410",-0.0564347461225296,"MA1122.1","TFDP1"
"634",-0.0554910695760689,"MA0746.2","SP3"
"590",-0.0551405500318514,"MA1627.1","Wt1"
"72",-0.054842722077027,"MA0514.1","Sox3"
"236",-0.0547898992102833,"MA0741.1","KLF16"
"407",-0.0539866536014753,"MA0442.2","SOX10"
"229",-0.0532262050287558,"MA0733.1","EGR4"
"350",-0.0517518376542474,"MA0863.1","MTF1"
"585",-0.0511548550996463,"MA1621.1","Rbpjl"
"23",-0.0506646958089321,"MA0087.1","Sox5"
"497",-0.0504077148066544,"MA1516.1","KLF3"
"538",-0.0496685668997973,"MA1560.1","SOHLH2"
"632",-0.0491144893619892,"MA0079.4","SP1"
"633",-0.0478699252739451,"MA0516.2","SP2"
"584",-0.0477718429215138,"MA1620.1","Ptf1a(var.3)"
"4",-0.0477171767437521,"MA0029.1","Mecom"
"631",-0.0473083818799746,"MA0868.2","SOX8"
"123",-0.0464087531220123,"MA0637.1","CENPB"
"720",-0.0460321988425943,"MA0681.2","PHOX2B"
"8",-0.0459634713021234,"MA0041.1","Foxd3"
"493",-0.0450850569243428,"MA1512.1","KLF11"
"744",-0.0444602699459394,"MA0748.2","YY2"
"610",-0.0443441207744334,"MA0616.2","HES2"
"614",-0.0441090999723084,"MA0594.2","HOXA9"
"709",-0.0419042009474093,"MA0499.2","MYOD1"
"727",-0.0417809195725619,"MA0743.2","SCRT1"
"301",-0.0410438752404076,"MA0812.1","TFAP2B(var.2)"
"498",-0.0408993024159917,"MA1517.1","KLF6"
"151",-0.0403823978371409,"MA0657.1","KLF13"
"52",-0.0401436010076166,"MA0467.1","Crx"
"665",-0.0395002135285726,"MA1657.1","ZNF652"
"230",-0.0393711735402893,"MA0735.1","GLIS1"
"158",-0.0391063498444063,"MA0665.1","MSC"
"311",-0.0387688817109755,"MA0820.1","FIGLA"
"108",-0.038580868983502,"MA0619.1","LIN54"
"141",-0.038556397957782,"MA0131.2","HINFP"
"596",-0.0379842632106352,"MA0877.2","BARHL1"
"492",-0.0377073487189462,"MA1511.1","KLF10"
"188",-0.0367913192264148,"MA0694.1","ZBTB7B"
"509",-0.0363744090449985,"MA1529.1","NHLH2"
"56",-0.0361564939246993,"MA0479.1","FOXH1"
"282",-0.0359869600720333,"MA0794.1","PROX1"
"222",-0.0356191440579115,"MA0727.1","NR3C2"
"170",-0.0354898819419722,"MA0676.1","Nr2e1"
"237",-0.0349812448418778,"MA0742.1","Klf12"
"20",-0.0349699658041519,"MA0077.1","SOX9"
"496",-0.0348239963682455,"MA1515.1","KLF2"
"551",-0.0344075997924031,"MA1573.1","THAP11"
"513",-0.0342197301176888,"MA1533.1","NR1I2"
"575",-0.0340051190822952,"MA1603.1","Dmrt1"
"30",-0.0333181289370302,"MA0111.1","Spz1"
"386",-0.0328401345693975,"MA0908.1","HOXD11"
"231",-0.0326411393550817,"MA0736.1","GLIS2"
"14",-0.032023145227511,"MA0069.1","PAX6"
"374",-0.0318886374595787,"MA0891.1","GSC2"
"669",-0.0313534604829375,"MA0465.2","CDX2"
"221",-0.0313190239798828,"MA0113.3","NR3C1"
"189",-0.0307235170629242,"MA0695.1","ZBTB7C"
"166",-0.0305793587906833,"MA0672.1","NKX2-3"
"38",-0.0304890497119597,"MA0142.1","Pou5f1::Sox2"
"366",-0.030485269085118,"MA0883.1","Dmbx1"
"40",-0.029869302207966,"MA0138.2","REST"
"354",-0.029659628125722,"MA0869.1","Sox11"
"164",-0.0296371744482143,"MA0671.1","NFIX"
"444",-0.029293747237379,"MA1152.1","SOX15"
"138",-0.0292763919774772,"MA0647.1","GRHL1"
"600",-0.0292500605730122,"MA0864.2","E2F2"
"139",-0.0283976091533639,"MA0648.1","GSC"
"331",-0.0283304443300638,"MA0845.1","FOXB1"
"268",-0.0281501493661452,"MA0779.1","PAX1"
"49",-0.0281468018041475,"MA0164.1","Nr2e3"
"514",-0.0280374145199299,"MA1534.1","NR1I3"
"279",-0.0277527644344476,"MA0791.1","POU4F3"
"73",-0.0276359959816073,"MA0515.1","Sox6"
"413",-0.0273846132772994,"MA1124.1","ZNF24"
"232",-0.0270037739330147,"MA0737.1","GLIS3"
"628",-0.02675158418845,"MA0682.2","PITX1"
"241",-0.0261056383713537,"MA0088.2","ZNF143"
"591",-0.0260950755723244,"MA1628.1","Zic1::Zic2"
"467",-0.0255565019195781,"MA1480.1","DPRX"
"557",-0.0255254731681975,"MA1579.1","ZBTB26"
"409",-0.0254482797322933,"MA1121.1","TEAD2"
"621",-0.0253730385873848,"MA0913.2","HOXD9"
"246",-0.0252538609771991,"MA0757.1","ONECUT3"
"206",-0.0250772118392016,"MA0715.1","PROP1"
"617",-0.0247035255506892,"MA0485.2","HOXC9"
"594",-0.0245768168042899,"MA1100.2","ASCL1"
"205",-0.0241276265411063,"MA0714.1","PITX3"
"270",-0.0240777463983749,"MA0781.1","PAX9"
"647",-0.0240082530385403,"MA1639.1","MEIS1(var.2)"
"581",-0.0228655079791539,"MA1616.1","Prdm15"
"333",-0.0228378805729568,"MA0846.1","FOXC2"
"657",-0.0227795854803203,"MA1649.1","ZBTB12"
"167",-0.0226581820045771,"MA0673.1","NKX2-8"
"737",-0.0226023444104365,"MA0090.3","TEAD1"
"145",-0.0223593318837164,"MA0486.2","HSF1"
"547",-0.0221474047257384,"MA1569.1","TFAP2E"
"535",-0.0220469834993428,"MA1557.1","SMAD5"
"692",-0.0220455327530059,"MA1104.2","GATA6"
"112",-0.0219923195151077,"MA0625.1","NFATC3"
"165",-0.0218031688521329,"MA0048.2","NHLH1"
"488",-0.0215876945351541,"MA1506.1","HOXD10"
"202",-0.0215003054374008,"MA0711.1","OTX1"
"503",-0.0212552236385576,"MA1522.1","MAZ"
"22",-0.0209920452095671,"MA0084.1","SRY"
"284",-0.0207773989767744,"MA0795.1","SMAD3"
"405",-0.0203579308124483,"MA1118.1","SIX1"
"723",-0.0203378457050784,"MA0508.3","PRDM1"
"106",-0.0202769896247487,"MA0615.1","Gmeb1"
"718",-0.019970753272745,"MA0712.2","OTX2"
"120",-0.0198449052836343,"MA0007.3","Ar"
"740",-0.0197644176685126,"MA0814.2","TFAP2C(var.2)"
"598",-0.0197505498270858,"MA0463.2","BCL6"
"383",-0.0195547664302824,"MA0905.1","HOXC10"
"113",-0.0185306273898035,"MA0626.1","Npas2"
"111",-0.0184991262189243,"MA0624.1","NFATC1"
"99",-0.0182635321229264,"MA0606.1","NFAT5"
"558",-0.0181940834622916,"MA1580.1","ZBTB32"
"408",-0.0181883775109056,"MA1120.1","SOX13"
"475",-0.0178424644598167,"MA1493.1","HES6"
"320",-0.0177426356457941,"MA0832.1","Tcf21"
"332",-0.0176441988020381,"MA0032.2","FOXC1"
"592",-0.0175792967860707,"MA1629.1","Zic2"
"45",-0.0168481064892458,"MA0155.1","INSM1"
"346",-0.0166402210434962,"MA0525.2","TP63"
"80",-0.0165758772557031,"MA0527.1","ZBTB33"
"265",-0.0162557016856099,"MA0777.1","MYBL2"
"121",-0.0161457725236963,"MA0635.1","BARHL2"
"710",-0.0161167484154821,"MA0500.2","MYOG"
"247",-0.0158270526997882,"MA0758.1","E2F7"
"485",-0.0156901769605858,"MA1503.1","HOXB9"
"29",-0.0153172574350017,"MA0109.1","HLTF"
"258",-0.0147834628293364,"MA0771.1","HSF4"
"257",-0.0146073977683104,"MA0770.1","HSF2"
"242",-0.0144204892552174,"MA0752.1","ZNF410"
"569",-0.014356161138954,"MA1596.1","ZNF460"
"314",-0.0143507372437663,"MA0823.1","HEY1"
"461",-0.014340070078129,"MA1473.1","CDX4"
"574",-0.014045408865584,"MA1602.1","ZSCAN29"
