"cor","motif","name"
-0.407388929047198,"MA0523.1","TCF7L2"
-0.39115716569692,"MA0768.1","LEF1"
-0.390252897645123,"MA0769.2","TCF7"
-0.327609985653469,"MA1421.1","TCF7L1"
-0.300547516644303,"MA0830.2","TCF4"
-0.297742457066832,"MA0103.3","ZEB1"
-0.280274076579721,"MA1648.1","TCF12(var.2)"
-0.279094584920236,"MA0522.3","TCF3"
-0.277836892564843,"MA1558.1","SNAI1"
-0.276658566784328,"MA0442.2","SOX10"
-0.274808713580916,"MA0006.1","Ahr::Arnt"
-0.26819840818427,"MA1559.1","SNAI3"
-0.253333619944088,"MA0745.2","SNAI2"
-0.245928704452789,"MA0162.4","EGR1"
-0.240938809080474,"MA1631.1","ASCL1(var.2)"
-0.230218947994707,"MA0867.2","SOX4"
-0.211284532644485,"MA1653.1","ZNF148"
-0.207639047456362,"MA1620.1","Ptf1a(var.3)"
-0.207274936144896,"MA1621.1","Rbpjl"
-0.206325831698068,"MA1650.1","ZBTB14"
-0.20268798147675,"MA0732.1","EGR3"
-0.201659716888218,"MA0632.2","TCFL5"
-0.192134426577591,"MA1102.2","CTCFL"
-0.19156771544195,"MA0741.1","KLF16"
-0.189911168322605,"MA0472.2","EGR2"
-0.189155931889055,"MA0733.1","EGR4"
-0.182861530645579,"MA0740.1","KLF14"
-0.181621256159396,"MA0820.1","FIGLA"
-0.181209757582233,"MA1564.1","SP9"
-0.177804666899845,"MA0515.1","Sox6"
-0.175750081317647,"MA0514.1","Sox3"
-0.173685953479159,"MA1522.1","MAZ"
-0.169630585389176,"MA0499.2","MYOD1"
-0.168645966956966,"MA0746.2","SP3"
-0.165697207124353,"MA0747.1","SP8"
-0.164355197030289,"MA0685.1","SP4"
-0.159813872634821,"MA1583.1","ZFP57"
-0.157053543518746,"MA1603.1","Dmrt1"
-0.156914143101067,"MA0516.2","SP2"
-0.154786946555451,"MA1512.1","KLF11"
-0.150499966801162,"MA0139.1","CTCF"
-0.139372112504672,"MA0079.4","SP1"
-0.139071433485053,"MA0259.1","ARNT::HIF1A"
-0.133994042193276,"MA1106.1","HIF1A"
-0.133301640956893,"MA0506.1","NRF1"
-0.130198484367214,"MA1534.1","NR1I3"
-0.130182174319595,"MA1627.1","Wt1"
-0.130177788504744,"MA0694.1","ZBTB7B"
-0.126348664566735,"MA0673.1","NKX2-8"
-0.125471246194007,"MA0743.2","SCRT1"
-0.125379259525434,"MA1529.1","NHLH2"
-0.12407941112706,"MA1640.1","MEIS2(var.2)"
-0.122681123696174,"MA0868.2","SOX8"
-0.122603195126658,"MA0467.1","Crx"
-0.119979023522394,"MA0847.2","FOXD2"
-0.118211407532946,"MA0727.1","NR3C2"
-0.117497524926203,"MA0087.1","Sox5"
-0.116668342162696,"MA0751.1","ZIC4"
-0.114317038735512,"MA1513.1","KLF15"
-0.113251068284776,"MA1560.1","SOHLH2"
-0.112199322750463,"MA0753.2","ZNF740"
-0.11114110889346,"MA0038.2","GFI1"
-0.110690603300497,"MA0007.3","Ar"
-0.108981754869034,"MA0029.1","Mecom"
-0.107116996768947,"MA1515.1","KLF2"
-0.104804069502785,"MA0510.2","RFX5"
-0.103948651737623,"MA0113.3","NR3C1"
-0.102259616112476,"MA0695.1","ZBTB7C"
