ID,COLLECTION,BASE_ID,VERSION,NAME,ACC
9229,CORE,MA0001,1,AGL3,P29383
9230,CORE,MA0002,1,RUNX1,Q01196
9231,CORE,MA0003,1,TFAP2A,P05549
9232,CORE,MA0004,1,Arnt,P53762
9233,CORE,MA0005,1,AG,P17839
9234,CORE,MA0006,1,Ahr::Arnt,P30561
9234,CORE,MA0006,1,Ahr::Arnt,P53762
9235,CORE,MA0007,1,Ar,P15207
9236,CORE,MA0008,1,HAT5,Q02283
9237,CORE,MA0009,1,Tbxt,P20293
9238,CORE,MA0010,1,br,Q01295
9239,CORE,MA0011,1,br,Q01295
9240,CORE,MA0012,1,br,Q01295
9241,CORE,MA0013,1,br,Q24206
9242,CORE,MA0014,1,Pax5,Q02650
9243,CORE,MA0015,1,Cf2,P20385
9244,CORE,MA0016,1,usp,P20153
9245,CORE,MA0017,1,NR2F1,P10589
9246,CORE,MA0018,1,CREB1,P16220
9247,CORE,MA0019,1,Ddit3::Cebpa,P05554
9247,CORE,MA0019,1,Ddit3::Cebpa,Q62857
9248,CORE,MA0020,1,Dof2,Q41800
9249,CORE,MA0021,1,Dof3,Q41801
9250,CORE,MA0022,1,dl,P15330
9251,CORE,MA0023,1,dl,P15330
9252,CORE,MA0024,1,E2F1,Q01094
9253,CORE,MA0025,1,NFIL3,Q16649
9254,CORE,MA0026,1,Eip74EF,P20105
9255,CORE,MA0027,1,En1,P09065
9256,CORE,MA0028,1,ELK1,P19419
9257,CORE,MA0029,1,Mecom,A4QPC8
9258,CORE,MA0030,1,FOXF2,Q12947
9259,CORE,MA0031,1,FOXD1,Q16676
9260,CORE,MA0032,1,FOXC1,Q12948
9261,CORE,MA0033,1,FOXL1,Q12952
9262,CORE,MA0034,1,Gam1,Q96464
9263,CORE,MA0035,1,Gata1,P17679
9264,CORE,MA0036,1,GATA2,P23769
9265,CORE,MA0037,1,GATA3,P23771
9266,CORE,MA0038,1,Gfi1,Q07120
9267,CORE,MA0039,1,Klf4,Q60793
9268,CORE,MA0040,1,Foxq1,Q63244
9269,CORE,MA0041,1,Foxd3,Q63245
9270,CORE,MA0042,1,FOXI1,Q12951
9271,CORE,MA0043,1,HLF,Q16534
9274,CORE,MA0046,1,HNF1A,P20823
9275,CORE,MA0047,1,Foxa2,P32182
9276,CORE,MA0048,1,NHLH1,Q02575
9277,CORE,MA0049,1,hb,P05084
9278,CORE,MA0050,1,IRF1,P10914
9279,CORE,MA0051,1,IRF2,P14316
9280,CORE,MA0052,1,MEF2A,Q02078
9281,CORE,MA0053,1,MNB1A,P38564
9282,CORE,MA0054,1,myb.Ph3,Q02994
9284,CORE,MA0056,1,MZF1,P28698
9286,CORE,MA0058,1,MAX,P61244
9287,CORE,MA0059,1,MAX::MYC,P01106
9287,CORE,MA0059,1,MAX::MYC,P61244
9288,CORE,MA0060,1,NFYA,P23511
9289,CORE,MA0105,1,NFKB1,P19838
9290,CORE,MA0062,1,GABPA,Q06546
9291,CORE,MA0063,1,Nkx2-5,P42582
9292,CORE,MA0064,1,PBF,O24463
9293,CORE,MA0065,1,PPARG::RXRA,P19793
9293,CORE,MA0065,1,PPARG::RXRA,P37231
9294,CORE,MA0066,1,PPARG,P37231
9295,CORE,MA0067,1,Pax2,P32114
9296,CORE,MA0068,1,Pax4,P32115
9297,CORE,MA0069,1,PAX6,P26367
9298,CORE,MA0070,1,PBX1,P40424
9299,CORE,MA0071,1,RORA,P35398
9300,CORE,MA0072,1,RORA,P35398
9301,CORE,MA0073,1,RREB1,Q92766
9302,CORE,MA0074,1,RXRA::VDR,P11473
9302,CORE,MA0074,1,RXRA::VDR,P19793
9303,CORE,MA0075,1,Prrx2,Q06348
9304,CORE,MA0076,1,ELK4,P28324
9305,CORE,MA0077,1,SOX9,P48436
9306,CORE,MA0078,1,Sox17,Q61473
9307,CORE,MA0079,1,SP1,P08047
9308,CORE,MA0080,1,SPI1,P17947
9309,CORE,MA0081,1,SPIB,Q01892
9310,CORE,MA0082,1,squamosa,Q38742
9311,CORE,MA0083,1,SRF,P11831
9312,CORE,MA0084,1,SRY,Q05066
9313,CORE,MA0085,1,Su(H),P28159
9314,CORE,MA0086,1,sna,P08044
9315,CORE,MA0087,1,Sox5,P35710
9316,CORE,MA0088,1,znf143,Q91853
9317,CORE,MA0089,1,MAFG::NFE2L1,Q5ZL67
9317,CORE,MA0089,1,MAFG::NFE2L1,Q90889
9318,CORE,MA0090,1,TEAD1,P28347
9319,CORE,MA0091,1,TAL1::TCF3,P15923
9319,CORE,MA0091,1,TAL1::TCF3,P17542
9320,CORE,MA0092,1,Hand1::Tcf3,P15806
9320,CORE,MA0092,1,Hand1::Tcf3,Q64279
9321,CORE,MA0093,1,USF1,P22415
9322,CORE,MA0094,1,Ubx,P83949
9323,CORE,MA0095,1,YY1,P25490
9324,CORE,MA0096,1,bZIP910,O22676
9325,CORE,MA0097,1,bZIP911,O22677
9326,CORE,MA0098,1,ETS1,P14921
9327,CORE,MA0099,1,Fos::Jun,P01101
9328,CORE,MA0100,1,Myb,P06876
9329,CORE,MA0101,1,REL,Q04864
