Gene stable ID	UniProtKB Gene Name ID	Gene name
ENSG00000210049		MT-TF
ENSG00000211459		MT-RNR1
ENSG00000210077		MT-TV
ENSG00000210082		MT-RNR2
ENSG00000209082		MT-TL1
ENSG00000198888	P03886	MT-ND1
ENSG00000198888	U5Z754	MT-ND1
ENSG00000210100		MT-TI
ENSG00000210107		MT-TQ
ENSG00000210112		MT-TM
ENSG00000198763	P03891	MT-ND2
ENSG00000198763	Q7GXY9	MT-ND2
ENSG00000198763	A0A1X7RBG6	MT-ND2
ENSG00000210117		MT-TW
ENSG00000210127		MT-TA
ENSG00000210135		MT-TN
ENSG00000210140		MT-TC
ENSG00000210144		MT-TY
ENSG00000198804	A0A1X7RBG2	MT-CO1
ENSG00000198804	P00395	MT-CO1
ENSG00000198804	U5YWV7	MT-CO1
ENSG00000210151		MT-TS1
ENSG00000210154		MT-TD
ENSG00000198712	P00403	MT-CO2
ENSG00000198712	U5Z487	MT-CO2
ENSG00000198712	A0A1X7RBF7	MT-CO2
ENSG00000210156		MT-TK
ENSG00000228253	P03928	MT-ATP8
ENSG00000228253	U5YV54	MT-ATP8
ENSG00000228253	A0A1X7RCP4	MT-ATP8
ENSG00000198899	P00846	MT-ATP6
ENSG00000198899	Q0ZFE3	MT-ATP6
ENSG00000198938	A0A1X7RBF0	MT-CO3
ENSG00000198938	P00414	MT-CO3
ENSG00000198938	Q7GIM7	MT-CO3
ENSG00000210164		MT-TG
ENSG00000198840	P03897	MT-ND3
ENSG00000198840	Q7GXZ5	MT-ND3
ENSG00000210174		MT-TR
ENSG00000212907	P03901	MT-ND4L
ENSG00000212907	A0A1X7RC16	MT-ND4L
ENSG00000212907	Q7GXZ4	MT-ND4L
ENSG00000198886	P03905	MT-ND4
ENSG00000198886	A0A1X7RBN5	MT-ND4
ENSG00000198886	H9EC08	MT-ND4
ENSG00000210176		MT-TH
ENSG00000210184		MT-TS2
ENSG00000210191		MT-TL2
ENSG00000198786	P03915	MT-ND5
ENSG00000198786	U5ZC31	MT-ND5
ENSG00000198695	U5Z977	MT-ND6
ENSG00000198695	P03923	MT-ND6
ENSG00000198695	A0A1X7RCR6	MT-ND6
ENSG00000210194		MT-TE
ENSG00000198727	P00156	MT-CYB
