"","gene","cor_cnt_telo","p_rank_telo"
"5","MEF2D_642",-0.00896567131720098,2.73060034622212e-18
"6","AC0021266_638",-0.00737610915356575,3.8967877109133e-17
"7","MEF2B_643",-0.00737610915356575,3.8967877109133e-17
"4","MEF2A_639",-0.00719053341829378,1.62730779252108e-18
"3","MEF2C_640",-0.00558683168307248,2.59072228791715e-19
"35","AR_689",-0.00491668410386968,4.37055726448475e-07
"16","NR3C1_666",-0.00458536348572682,3.15730565549473e-12
"109","HOXD11_464",-0.00453520852560543,0.00044440425098842
"247","KLF9_192",-0.00434181182089854,0.0164297250646002
"261","KDM2B_299",-0.00429724395952363,0.0198921064439715
"43","LCOR_711",-0.00348242300746905,1.53131425143627e-06
"173","HOXC11_453",-0.00347282844096888,0.00310420363754594
"184","HOXA9_405",-0.00331649620341597,0.00380260994661242
"345","DLX5_412",-0.00281608827069004,0.0678612796043479
"63","PGR_660",-0.00274390362389418,8.45933931546995e-06
"83","ASCL2_89",-0.00267239728980334,5.35626553439637e-05
"339","PDX1_482",-0.00258643004008028,0.0627069242187512
"523","ENSG00000250542_156",-0.00256857335392748,0.29903680450977
"145","SRF_641",-0.00256139236279979,0.00134420641157773
"200","CDX1_435",-0.00247326413338222,0.00592414027818557
"175","TBP_793",-0.00242338073448479,0.00318753377469628
"197","HOXB9_529",-0.00234441569122877,0.00559442135826579
"107","TGIF1_541",-0.00234193060932209,0.000326286138279213
"180","MYF6_30",-0.00233989986739935,0.00356909569609006
"84","ZNF202_230",-0.00228751557035559,5.87071665318901e-05
"137","ZNF238_260",-0.00227613915888708,0.00108518416539574
"138","ZBTB42_261",-0.00227613915888708,0.00108518416539574
"275","HOXA11_395",-0.00226472504664833,0.0269590218613115
"409","HSFY2_625",-0.00225902014198691,0.127474789786356
"410","HSFY1_626",-0.00225902014198691,0.127474789786356
"190","CDX4_467",-0.00225303239556687,0.00479765275056015
"210","CDX2_514",-0.00225093845889581,0.00782575057783504
"61","NHLH2_80",-0.00222293331535369,7.33482361290426e-06
"167","HOXC10_548",-0.00213518798434147,0.00281588264223126
"56","TFAP4_23",-0.00211063701807117,4.3415015237036e-06
"244","HHEX_491",-0.00210618440124863,0.0157767374877494
"235","HOXB1_448",-0.00209153992080409,0.0128888809374255
"204","NR3C2_685",-0.00203334238536443,0.00707109559708412
"230","HOXA13_418",-0.0020255757667877,0.0114398654875947
"121","MEIS1_486",-0.00199513116685359,0.000693528207494708
"388","HOMEZ_568",-0.0019658318167351,0.106342178336117
"170","NFATC1_720",-0.00185704754202731,0.00287231681875478
"179","SMAD9_867",-0.00185346077597726,0.00349787261394117
"279","HOXD13_465",-0.00182464477645648,0.0286882194812754
"236","TAL1_62",-0.00177297284368328,0.0130310430560404
"237","TAL2_822",-0.00177297284368328,0.0130310430560404
"90","SMAD2_745",-0.00176672183170152,0.000148600772243319
"330","TCF21_39",-0.0017644300629039,0.0573790358504497
"331","ENSG00000187728_92",-0.0017644300629039,0.0573790358504497
"161","HAND1_33",-0.00170213483892152,0.00252267121271095
"162","HAND2_66",-0.00170213483892152,0.00252267121271095
"305","HOXC12_454",-0.00169535504808969,0.042302509841738
"150","TBPL2_794",-0.00168352656374092,0.00185298069770754
"266","HOXC13_452",-0.00166477045108408,0.0219551716203449
"231","SOX1_770",-0.00161775004985582,0.0121277143471859
"311","TGIF2_441",-0.00157972544571269,0.0467340614166927
"206","CPEB1_815",-0.00153284048204141,0.00717938004477633
"297","PRDM16_211",-0.00147390864192888,0.0380486220735418
"207","SMAD4_739",-0.00142105704146279,0.00743941156524759
"373","LBX1_481",-0.00141071008857916,0.0976372984505731
"350","POU3F2_617",-0.00138528798874828,0.0712208235421671
"361","LHX4_450",-0.00138363801994923,0.0841942407179621
"427","NANOG_433",-0.00135239688793163,0.159783780237543
"166","EBF1_67",-0.00134073898687099,0.00269434567917178
"431","SIX3_480",-0.00133593516046868,0.167681718073135
"219","MYF5_842",-0.00131353709379401,0.00916090836971754
"347","MSC_82",-0.00130313434605394,0.0690656042361154
"386","THRB_684",-0.00129348463352086,0.106028553234943
"454","HMGA2_13",-0.00127659643292613,0.199730689944736
"298","ZIC1_213",-0.00126550281276739,0.038353514439509
"187","ZIC5_210",-0.00126438328404654,0.00431034105914303
"401","TGIF2LX_492",-0.00121670809850558,0.116933072061965
"402","TGIF2LY_538",-0.00121670809850558,0.116933072061965
"271","ZNF274_244",-0.00121389639419342,0.025233946440831
"329","GFI1B_228",-0.0011950006883823,0.0572719937214509
"390","VDR_663",-0.00116450222089674,0.106859315207643
"295","ASCL1_843",-0.00115747761147087,0.0361805588319072
"532","SIX1_459",-0.00115235724719939,0.317564671955008
"316","NR2E1_665",-0.00114812822217404,0.0488432137748927
"215","GLIS2_201",-0.00112559583813895,0.00844338607992359
"323","GLIS1_250",-0.00112534970011122,0.0544936433212542
"218","MYOG_41",-0.0011133058196953,0.00882131497220573
"296","ZIC2_162",-0.00109047296857323,0.0378852289277025
"342","ZIC3_215",-0.00108842300698564,0.0636845817392762
"248","NHLH1_74",-0.00108803932197924,0.0166571161051915
"249","LYL1_818",-0.00108803932197924,0.0166571161051915
"123","NR0B1_811",-0.00108619843072029,0.000710704761378487
"280","HLTF_802",-0.00107365234794504,0.0288536836603868
"640","ZNF187_849",-0.00107335501079654,0.441313744550007
"284","HMGA1_12",-0.00106274000958964,0.0303019224059897
"423","HOXB13_494",-0.00106181557427924,0.149557463129154
"587","PAX3_608",-0.00104517285873865,0.357780870870383
"105","PLAG1_264",-0.00103171404646995,0.000307030960609941
"362","BCL6_187",-0.00101066798286443,0.0844784736259819
"632","MYBL1_653",-0.00100766130768006,0.4298479473054
